algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
craftdroid,craftdroid,standard,nnlm,30.0,54.0,66.0,78.0,81.0,0.47166765919601683,2.048011064529419,-1.0
craftdroid,atm,standard,nnlm,34.0,57.0,68.0,79.0,81.0,0.4946517965566032,2.0403029918670654,-1.0
custom,union,standard,nnlm,52.0,69.0,78.0,90.0,96.0,0.6042582896031174,1.8129312992095947,-1.0
custom,intersection,standard,nnlm,47.0,66.0,77.0,87.0,92.0,0.5829858280582821,1.7909278869628906,-1.0
custom,craftdroid,standard,nnlm,46.0,67.0,76.0,90.0,98.0,0.5859222793490036,1.8181591033935547,-1.0
custom,atm,standard,nnlm,52.0,73.0,83.0,91.0,93.0,0.613016204629308,1.7878239154815674,-1.0
atm_0,union,standard,nnlm,34.0,68.0,92.0,103.0,103.0,0.5819105463502017,1.800675868988037,-1.0
atm_0,intersection,standard,nnlm,39.0,62.0,76.0,88.0,92.0,0.5497346447569385,1.7979941368103027,-1.0
atm_0,craftdroid,standard,nnlm,35.0,69.0,91.0,102.0,104.0,0.5887455217196599,1.8414690494537354,-1.0
atm_0,atm,standard,nnlm,43.0,66.0,81.0,92.0,94.0,0.5719961245236147,1.9362969398498535,-1.0
adaptdroid_0,union,standard,nnlm,39.0,53.0,67.0,75.0,84.0,0.5049191495742553,2.978064775466919,-1.0
adaptdroid_0,intersection,standard,nnlm,38.0,55.0,60.0,70.0,77.0,0.49344051373929865,2.674088954925537,-1.0
adaptdroid_0,craftdroid,standard,nnlm,39.0,54.0,67.0,78.0,86.0,0.5121022801410067,1.8442490100860596,-1.0
adaptdroid_0,atm,standard,nnlm,39.0,56.0,65.0,71.0,76.0,0.5043173903498369,1.829458236694336,-1.0
craftdroid,union,standard,use,34.0,54.0,71.0,80.0,88.0,0.49586383303421855,2.093393325805664,-1.0
craftdroid,intersection,standard,use,35.0,57.0,69.0,78.0,87.0,0.5089261202544079,2.124302864074707,-1.0
craftdroid,craftdroid,standard,use,34.0,54.0,72.0,80.0,88.0,0.5003321616404782,2.0657379627227783,-1.0
craftdroid,atm,standard,use,37.0,58.0,69.0,78.0,87.0,0.5154405828033531,2.0331201553344727,-1.0
custom,union,standard,use,50.0,71.0,86.0,93.0,96.0,0.605059169922428,1.8200738430023193,-1.0
custom,intersection,standard,use,48.0,66.0,82.0,91.0,96.0,0.5966922515763183,1.8044631481170654,-1.0
custom,craftdroid,standard,use,49.0,68.0,81.0,89.0,94.0,0.5978872181458391,1.8237228393554688,-1.0
custom,atm,standard,use,52.0,74.0,85.0,95.0,97.0,0.6205643921512425,1.811100959777832,-1.0
atm_0,union,standard,use,29.0,62.0,80.0,96.0,101.0,0.528445667896666,1.872905969619751,-1.0
atm_0,intersection,standard,use,42.0,62.0,80.0,87.0,91.0,0.5629077036170076,1.8560490608215332,-1.0
atm_0,craftdroid,standard,use,29.0,61.0,80.0,95.0,102.0,0.5297592967965019,1.8877918720245361,-1.0
atm_0,atm,standard,use,46.0,71.0,83.0,89.0,93.0,0.589644313951622,1.7996909618377686,-1.0
adaptdroid_0,union,standard,use,38.0,56.0,62.0,71.0,79.0,0.4914211326582621,1.8212218284606934,-1.0
adaptdroid_0,intersection,standard,use,37.0,50.0,57.0,68.0,74.0,0.4750873015550207,1.79569411277771,-1.0
adaptdroid_0,craftdroid,standard,use,37.0,55.0,60.0,71.0,78.0,0.4882559425683215,1.816127061843872,-1.0
