algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
craftdroid,intersection,standard,w2v,146.0,190.0,203.0,209.0,213.0,0.8151171540877424,3.762148141860962,-1.0
craftdroid,craftdroid,standard,w2v,134.0,188.0,199.0,204.0,210.0,0.7786887634738314,3.783787965774536,-1.0
craftdroid,atm,standard,w2v,151.0,194.0,204.0,209.0,213.0,0.8266556156262037,3.8060569763183594,-1.0
custom,union,standard,w2v,144.0,195.0,203.0,207.0,212.0,0.800828235280526,3.379504919052124,-1.0
custom,intersection,standard,w2v,146.0,196.0,205.0,211.0,215.0,0.821162986286326,3.3756091594696045,-1.0
custom,craftdroid,standard,w2v,135.0,197.0,206.0,209.0,213.0,0.7985137197307163,3.4124717712402344,-1.0
custom,atm,standard,w2v,152.0,200.0,205.0,213.0,215.0,0.8272010342598578,3.3783118724823,-1.0
atm_0,union,standard,w2v,115.0,165.0,191.0,198.0,202.0,0.7134472484198615,3.375296115875244,-1.0
atm_0,intersection,standard,w2v,139.0,192.0,206.0,209.0,215.0,0.8033857743120456,3.357442855834961,-1.0
atm_0,craftdroid,standard,w2v,109.0,165.0,189.0,194.0,200.0,0.7000518705448454,3.3674979209899902,-1.0
atm_0,atm,standard,w2v,144.0,193.0,203.0,209.0,215.0,0.8079358650093742,3.350860118865967,-1.0
adaptdroid_0,union,standard,w2v,122.0,153.0,166.0,177.0,190.0,0.6935658842635892,3.3979668617248535,-1.0
adaptdroid_0,intersection,standard,w2v,136.0,170.0,181.0,190.0,193.0,0.7502166967282259,3.441514015197754,-1.0
adaptdroid_0,craftdroid,standard,w2v,119.0,153.0,166.0,177.0,189.0,0.6886406030260683,3.4937870502471924,-1.0
adaptdroid_0,atm,standard,w2v,136.0,169.0,181.0,189.0,192.0,0.7482043783126172,3.4366049766540527,-1.0
craftdroid,union,googleplay,w2v,146.0,190.0,203.0,206.0,212.0,0.8020858226740578,3.835782051086426,-1.0
craftdroid,intersection,googleplay,w2v,146.0,199.0,208.0,214.0,216.0,0.8271600948071536,3.7714791297912598,-1.0
craftdroid,craftdroid,googleplay,w2v,137.0,188.0,202.0,205.0,212.0,0.7872039724980902,3.800995111465454,-1.0
craftdroid,atm,googleplay,w2v,155.0,202.0,209.0,215.0,216.0,0.8427960927960926,3.8119328022003174,-1.0
custom,union,googleplay,w2v,152.0,196.0,205.0,214.0,216.0,0.8251203045320691,3.3717291355133057,-1.0
custom,intersection,googleplay,w2v,147.0,198.0,212.0,215.0,218.0,0.831462328521152,3.4224460124969482,-1.0
custom,craftdroid,googleplay,w2v,139.0,200.0,208.0,217.0,218.0,0.8141672053436757,3.3881847858428955,-1.0
custom,atm,googleplay,w2v,154.0,203.0,213.0,217.0,218.0,0.8404869640163757,3.3671469688415527,-1.0
atm_0,union,googleplay,w2v,105.0,152.0,184.0,197.0,204.0,0.6790837726758233,3.391603946685791,-1.0
atm_0,intersection,googleplay,w2v,136.0,195.0,209.0,210.0,213.0,0.8009112415293578,3.3487701416015625,-1.0
atm_0,craftdroid,googleplay,w2v,112.0,160.0,185.0,194.0,204.0,0.7026145841756705,3.3788721561431885,-1.0
atm_0,atm,googleplay,w2v,134.0,189.0,204.0,212.0,213.0,0.7841912803331493,3.3743860721588135,-1.0
adaptdroid_0,union,googleplay,w2v,128.0,166.0,178.0,187.0,196.0,0.7282538442147177,3.381049156188965,-1.0
adaptdroid_0,intersection,googleplay,w2v,133.0,171.0,183.0,189.0,192.0,0.7472347102592389,3.364164113998413,-1.0
adaptdroid_0,craftdroid,googleplay,w2v,126.0,167.0,180.0,188.0,196.0,0.7262476892199478,3.389462947845459,-1.0
adaptdroid_0,atm,googleplay,w2v,134.0,173.0,182.0,187.0,192.0,0.74924756668386,3.356065034866333,-1.0
craftdroid,union,standard,nnlm,139.0,186.0,198.0,203.0,210.0,0.7761423217305566,4.44549298286438,-1.0
craftdroid,intersection,standard,nnlm,147.0,194.0,202.0,207.0,214.0,0.8157012377600614,4.325286865234375,-1.0
craftdroid,craftdroid,standard,nnlm,134.0,185.0,199.0,203.0,210.0,0.7726490829432007,3.8878650665283203,-1.0
craftdroid,atm,standard,nnlm,158.0,196.0,202.0,207.0,214.0,0.8338905647729177,3.8852648735046387,-1.0
custom,union,standard,nnlm,166.0,191.0,199.0,205.0,211.0,0.8398866499262427,3.4566471576690674,-1.0
custom,intersection,standard,nnlm,158.0,193.0,203.0,208.0,212.0,0.8350281312810905,3.396162986755371,-1.0
custom,craftdroid,standard,nnlm,161.0,192.0,199.0,206.0,211.0,0.8387637371821964,3.44455885887146,-1.0
custom,atm,standard,nnlm,163.0,195.0,203.0,208.0,213.0,0.8392138148785391,3.664533853530884,-1.0
atm_0,union,standard,nnlm,125.0,180.0,199.0,208.0,210.0,0.7553424535125367,3.46283221244812,-1.0
atm_0,intersection,standard,nnlm,146.0,192.0,204.0,208.0,212.0,0.8175492807845752,3.3836119174957275,-1.0
atm_0,craftdroid,standard,nnlm,129.0,181.0,201.0,206.0,210.0,0.7644712332295518,3.406179189682007,-1.0
atm_0,atm,standard,nnlm,156.0,187.0,202.0,206.0,211.0,0.8258655160298416,3.422255039215088,-1.0
adaptdroid_0,union,standard,nnlm,132.0,162.0,172.0,187.0,195.0,0.7221875025683906,3.4091649055480957,-1.0
adaptdroid_0,intersection,standard,nnlm,140.0,165.0,171.0,179.0,185.0,0.7402875511120159,3.3676700592041016,-1.0
adaptdroid_0,craftdroid,standard,nnlm,133.0,160.0,171.0,186.0,196.0,0.7227793559329355,3.4032859802246094,-1.0
adaptdroid_0,atm,standard,nnlm,139.0,164.0,172.0,181.0,187.0,0.7382407732980737,3.40378999710083,-1.0
craftdroid,union,standard,use,149.0,187.0,204.0,210.0,213.0,0.8050862450243254,3.870126962661743,-1.0
craftdroid,intersection,standard,use,151.0,193.0,206.0,208.0,217.0,0.8275413814440964,3.9019739627838135,-1.0
craftdroid,craftdroid,standard,use,139.0,188.0,203.0,207.0,213.0,0.7901110241667517,3.8117377758026123,-1.0
craftdroid,atm,standard,use,154.0,195.0,208.0,211.0,217.0,0.8336499787291644,3.834326982498169,-1.0
custom,union,standard,use,165.0,192.0,202.0,207.0,210.0,0.8401379318776067,3.432196855545044,-1.0
custom,intersection,standard,use,156.0,196.0,207.0,210.0,216.0,0.8351720947109554,3.4207968711853027,-1.0
custom,craftdroid,standard,use,161.0,197.0,206.0,208.0,213.0,0.846133818418886,3.4421181678771973,-1.0
custom,atm,standard,use,170.0,197.0,207.0,211.0,216.0,0.8587018117986628,3.4395720958709717,-1.0
atm_0,union,standard,use,152.0,185.0,204.0,211.0,213.0,0.8180603791906176,3.448513984680176,-1.0
atm_0,intersection,standard,use,148.0,187.0,209.0,212.0,214.0,0.8210119945414069,3.41864013671875,-1.0
atm_0,craftdroid,standard,use,141.0,178.0,204.0,209.0,213.0,0.7931124513015134,3.406141996383667,-1.0
atm_0,atm,standard,use,162.0,193.0,209.0,212.0,214.0,0.8501857121292248,3.45314884185791,-1.0
adaptdroid_0,union,standard,use,144.0,174.0,188.0,194.0,200.0,0.7704277705368271,3.584527015686035,-1.0
