algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
custom,intersection,empty,jaccard,173,249,290,297,306,0.713185735,45.46154284,6836
atm,atm,blogs,fast,173,261,285,303,309,0.708729316,68.64965129,163
custom,intersection,blogs,w2v,173,252,282,291,300,0.706236923,67.76216006,7012
craftdroid,intersection,standard,w2v,173,248,270,289,302,0.698873314,50.05825806,5695
craftdroid,craftdroid,googleplay,wm,173,251,274,289,303,0.6958901,19.31364727,53
craftdroid,craftdroid,standard,use,173,242,275,287,301,0.690365184,5385.438368,383
craftdroid,union,standard,w2v,173,243,269,282,298,0.684475521,191.5586562,17982
adaptdroid,intersection,blogs,wm,173,226,247,258,268,0.65834626,15.7964213,183
atm,atm,empty,jaccard,172,251,284,294,306,0.715738656,64.5379405,30565
custom,craftdroid,empty,edit_distance,172,259,284,301,308,0.711937132,72.37421274,141288
custom,craftdroid,blogs,fast,172,259,285,300,313,0.709648006,78.79774547,186
atm,atm,googleplay,fast,172,260,281,299,307,0.706031383,69.09786487,223
atm,atm,blogs,w2v,172,259,281,300,306,0.702370126,87.9999032,7475
craftdroid,atm,empty,edit_distance,172,248,274,291,302,0.696284445,41.02554083,17301
craftdroid,union,standard,wm,172,251,274,287,298,0.687363657,42.81523013,169
craftdroid,union,standard,glove,172,244,266,282,291,0.680979207,146.9555962,26549
adaptdroid,atm,blogs,w2v,172,218,244,259,267,0.65829432,14.4875786,3003
adaptdroid,craftdroid,standard,nnlm,172,214,238,264,282,0.65026143,300.072798,2
atm,craftdroid,googleplay,wm,171,252,296,308,317,0.715183766,35.74185705,4571
craftdroid,craftdroid,standard,wm,171,248,273,284,298,0.68650535,19.84209919,165
adaptdroid,atm,blogs,fast,171,218,236,252,264,0.65332667,14.2082241,147
adaptdroid,union,standard,nnlm,171,215,239,262,279,0.64740077,301.031482,2
adaptdroid,craftdroid,android,wm,171,215,234,254,271,0.64484387,36.6200974,0
atm,intersection,googleplay,fast,170,256,284,295,308,0.706564102,44.44842148,208
atm,intersection,googleplay,w2v,170,255,283,295,305,0.705131524,51.4045341,1509
atm,craftdroid,standard,use,170,239,284,304,315,0.702462701,4503.739334,3243
atm,intersection,standard,bert,170,244,277,288,302,0.690836562,3453.36672,12534
craftdroid,intersection,blogs,w2v,170,244,269,282,295,0.688220305,44.19471645,1876
craftdroid,union,android,wm,170,255,274,290,295,0.687914653,22.1872499,314
craftdroid,union,standard,nnlm,170,240,264,281,291,0.671767676,1338.963931,821
craftdroid,intersection,android,w2v,169,256,275,293,304,0.699345018,43.36121917,3838
custom,craftdroid,android,fast,169,254,277,297,309,0.697308648,92.44921041,0
craftdroid,union,googleplay,fast,169,238,267,283,294,0.677057363,64.11415625,373
adaptdroid,intersection,android,wm,169,221,240,257,264,0.64902095,15.4282391,307
custom,craftdroid,blogs,w2v,168,260,285,301,311,0.704440439,108.2672806,27338
atm,intersection,blogs,fast,168,255,280,296,306,0.700894211,45.66615486,124
craftdroid,intersection,empty,edit_distance,168,248,274,292,302,0.692252605,39.39937449,17096
craftdroid,intersection,googleplay,glove,168,250,269,290,296,0.690521966,38.47283125,4636
craftdroid,craftdroid,android,wm,168,254,276,291,295,0.688089503,19.83219481,310
craftdroid,craftdroid,blogs,glove,168,245,270,279,295,0.682905046,65.50033617,21551
craftdroid,craftdroid,blogs,wm,168,243,274,286,299,0.680175761,20.97878671,155
craftdroid,union,blogs,wm,168,248,273,288,299,0.679744271,22.31965303,159
craftdroid,union,blogs,w2v,168,241,269,283,291,0.674185816,84.2342782,9093
adaptdroid,atm,android,wm,168,220,240,256,264,0.64697806,16.1189632,307
adaptdroid,union,blogs,wm,168,219,244,258,275,0.64528706,41.1551683,0
craftdroid,intersection,blogs,fast,167,246,272,287,297,0.687064899,42.73266244,25
craftdroid,union,standard,fast,167,234,266,281,293,0.669310221,367.7031391,6230
craftdroid,union,googleplay,glove,167,240,261,277,292,0.669237777,100.6684895,14066
adaptdroid,atm,googleplay,w2v,167,222,247,260,270,0.65425088,14.4958842,1097
adaptdroid,atm,android,fast,167,219,242,255,264,0.64789932,14.4642045,0
atm,intersection,empty,edit_distance,166,258,289,301,307,0.706664191,30.52917433,44775
atm,intersection,blogs,w2v,166,254,280,294,305,0.696353359,55.7702136,7139
adaptdroid,intersection,googleplay,fast,166,222,249,260,268,0.65305854,13.3565669,176
adaptdroid,intersection,blogs,w2v,166,217,242,257,265,0.64945871,13.7748585,2791
adaptdroid,craftdroid,blogs,wm,166,222,249,267,278,0.64841903,37.4708593,0
adaptdroid,intersection,android,fast,166,219,245,256,263,0.64775954,13.8289223,0
adaptdroid,intersection,blogs,fast,166,218,233,252,265,0.6472183,13.565414,108
adaptdroid,union,android,wm,166,211,228,252,266,0.63243312,38.456284,0
atm,union,googleplay,wm,165,255,298,310,319,0.711545005,43.47961903,4533
atm,craftdroid,standard,wm,165,249,289,305,311,0.700912975,35.04567122,4803
atm,intersection,googleplay,glove,165,253,278,296,309,0.696643171,47.55826473,15680
craftdroid,craftdroid,googleplay,w2v,165,237,269,282,300,0.677040936,70.17997551,7302
adaptdroid,atm,googleplay,fast,165,223,250,262,271,0.65306046,14.0651376,191
adaptdroid,intersection,googleplay,w2v,165,219,246,259,264,0.6494983,13.811594,1010
adaptdroid,union,standard,fast,165,215,239,257,277,0.64460063,167.031131,13177
atm,craftdroid,standard,nnlm,164,250,292,308,314,0.703984045,2449.300343,5340
custom,craftdroid,android,w2v,164,267,287,308,313,0.702787713,104.4041424,44886
craftdroid,intersection,standard,bert,164,240,272,283,291,0.6730612,1565.259616,0
craftdroid,craftdroid,standard,nnlm,164,239,265,281,291,0.669047169,1303.978943,809
atm,craftdroid,blogs,wm,163,250,295,307,315,0.700681077,36.82978821,4779
craftdroid,craftdroid,standard,w2v,163,242,271,283,299,0.675963828,69.55411887,17930
craftdroid,craftdroid,standard,glove,162,241,265,283,291,0.66990658,54.85928679,26447
craftdroid,union,android,glove,162,241,268,280,293,0.666195433,42.50303173,42669
adaptdroid,atm,blogs,glove,162,218,249,259,270,0.64517285,13.6569965,12317
adaptdroid,atm,standard,glove,162,215,243,255,275,0.64101153,13.6695495,11648
adaptdroid,craftdroid,standard,fast,162,213,239,256,274,0.64098037,38.5544603,12300
atm,intersection,android,fast,161,246,277,293,303,0.684519306,47.01238632,0
atm,atm,android,fast,160,245,274,298,304,0.678485666,80.28175855,0
craftdroid,craftdroid,googleplay,fast,160,239,268,283,294,0.670109975,60.9156785,373
craftdroid,union,standard,bert,160,234,260,292,300,0.65612029,3615.700588,0
adaptdroid,intersection,blogs,glove,160,219,249,258,270,0.64251903,13.0167768,11081
atm,union,blogs,wm,159,251,292,306,314,0.696974788,45.97322297,4742
atm,union,standard,nnlm,159,248,291,311,313,0.695644824,2491.026413,5191
atm,atm,android,w2v,159,256,274,299,307,0.683585742,91.31391954,16122
craftdroid,craftdroid,blogs,w2v,159,237,269,282,290,0.664179222,67.63079834,9081
adaptdroid,union,googleplay,w2v,159,214,242,259,277,0.63622568,38.2643981,15756
adaptdroid,atm,android,w2v,159,211,235,244,262,0.62872819,14.2524414,9160
adaptdroid,intersection,android,w2v,159,209,237,247,262,0.62865756,13.5961647,8599
atm,intersection,empty,jaccard,158,248,289,297,305,0.69932864,32.09352612,30614
atm,intersection,android,w2v,158,253,272,292,303,0.683036749,58.51903462,15355
craftdroid,craftdroid,googleplay,glove,158,238,261,278,293,0.66084439,52.28950262,14038
craftdroid,union,blogs,fast,158,244,269,281,291,0.660803011,74.2701354,25
adaptdroid,union,standard,w2v,158,204,227,248,266,0.62100985,72.8679471,55061
atm,union,standard,wm,157,249,291,308,312,0.692245526,43.38516021,4766
craftdroid,union,android,w2v,157,249,270,286,297,0.664955844,56.91242576,12423
craftdroid,craftdroid,standard,fast,157,234,270,282,294,0.662329862,60.97988915,6216
adaptdroid,craftdroid,googleplay,w2v,157,214,243,260,279,0.6352985,35.7541854,15224
adaptdroid,craftdroid,standard,glove,157,205,232,250,266,0.62303383,32.1014955,56150
craftdroid,craftdroid,blogs,fast,156,243,270,280,291,0.663716758,51.36980629,25
atm,union,standard,fast,156,222,263,281,295,0.655528331,150.837549,17301
craftdroid,craftdroid,standard,bert,156,230,263,293,301,0.654899942,3135.422517,0
adaptdroid,craftdroid,googleplay,fast,156,219,238,255,280,0.63735341,34.9315672,1491
adaptdroid,intersection,standard,glove,156,211,237,253,271,0.62754983,13.0181744,10466
adaptdroid,intersection,googleplay,glove,156,206,234,249,259,0.62256032,13.1105189,8638
atm,union,android,glove,155,228,267,287,299,0.659782944,133.6390648,153387
adaptdroid,union,googleplay,fast,155,220,239,256,282,0.6345058,40.5996637,1509
adaptdroid,union,standard,glove,155,208,235,251,264,0.62056783,63.3557556,59365
adaptdroid,atm,googleplay,glove,155,205,233,245,260,0.6201449,13.6916866,9414
adaptdroid,atm,android,glove,155,203,235,257,262,0.6192728,13.3530264,28657
adaptdroid,craftdroid,standard,w2v,155,205,229,247,265,0.61849138,33.1599946,50449
atm,craftdroid,android,wm,154,249,285,302,309,0.682398012,36.16324401,4923
adaptdroid,intersection,android,glove,154,204,235,252,260,0.61768065,12.7814517,24836
adaptdroid,union,android,fast,154,201,222,245,267,0.61259537,38.3711963,0
adaptdroid,craftdroid,googleplay,glove,154,202,223,233,252,0.6109401,32.1815319,37499
craftdroid,atm,empty,jaccard,153,241,271,277,290,0.672377942,36.58542919,7044
craftdroid,craftdroid,android,glove,153,240,270,280,293,0.659195893,44.56603265,42521
adaptdroid,atm,standard,bert,153,197,225,238,254,0.59975456,1573.1159,113
adaptdroid,union,empty,jaccard,152,201,237,257,265,0.62677891,22.1444731,553
adaptdroid,craftdroid,blogs,w2v,152,209,235,253,271,0.6193969,35.5788,19239
adaptdroid,union,googleplay,glove,152,197,223,234,256,0.60432675,47.2028782,39902
craftdroid,union,empty,edit_distance,151,237,267,283,292,0.651155247,56.36289406,39292
adaptdroid,craftdroid,empty,jaccard,151,204,240,260,268,0.62895921,21.3874285,562
adaptdroid,craftdroid,blogs,glove,151,198,227,247,273,0.61337176,32.0567522,51811
adaptdroid,craftdroid,android,fast,151,200,226,245,263,0.60850535,36.072273,0
craftdroid,intersection,empty,jaccard,150,236,271,278,290,0.666736522,31.94421506,6980
atm,craftdroid,standard,bert,150,226,275,296,305,0.653876332,4936.471567,4496
adaptdroid,union,blogs,w2v,150,207,230,253,269,0.61339081,39.2078145,20006
adaptdroid,union,blogs,glove,150,198,227,248,271,0.61063536,45.5054998,55195
craftdroid,craftdroid,android,w2v,149,248,271,285,298,0.658791509,62.47347641,12403
atm,union,standard,bert,149,230,276,299,305,0.655497556,4700.946583,4458
adaptdroid,union,blogs,fast,149,206,230,249,267,0.61135209,41.7038071,219
adaptdroid,atm,empty,jaccard,149,199,218,226,253,0.60232312,10.7324915,7219
craftdroid,union,empty,jaccard,148,238,269,280,288,0.654084538,44.9853816,8420
craftdroid,craftdroid,empty,edit_distance,148,237,271,287,294,0.650686593,53.91286159,39087
craftdroid,union,android,fast,148,237,273,286,302,0.649977653,66.39483643,0
adaptdroid,craftdroid,blogs,fast,148,208,233,251,268,0.61211236,35.2684796,173
adaptdroid,intersection,standard,bert,148,193,221,233,250,0.58798764,1560.15565,113
atm,union,android,wm,147,249,286,306,311,0.67585216,43.85075903,4886
adaptdroid,atm,empty,edit_distance,147,208,235,255,262,0.61291414,13.4309518,28696
atm,union,standard,w2v,146,225,266,285,290,0.644601896,141.6854527,74059
atm,craftdroid,standard,fast,145,219,261,276,294,0.638173347,126.9651494,16385
adaptdroid,craftdroid,android,glove,145,195,222,243,266,0.59434725,31.4796259,108844
adaptdroid,intersection,empty,jaccard,145,192,214,225,250,0.59208957,10.3313415,7298
adaptdroid,intersection,empty,edit_distance,144,205,233,250,259,0.60526742,12.838994,24887
adaptdroid,union,android,glove,144,196,220,242,262,0.59121542,33.5336328,118558
atm,union,empty,jaccard,143,237,284,306,311,0.677339866,91.83933687,22391
atm,craftdroid,empty,jaccard,143,238,283,303,312,0.676369586,61.30567813,22467
adaptdroid,craftdroid,android,w2v,143,193,222,237,257,0.58909203,35.2012999,32789
adaptdroid,union,android,w2v,143,186,215,235,253,0.58127374,36.5235286,34131
craftdroid,craftdroid,empty,jaccard,142,234,274,281,289,0.647960735,41.80565619,8356
atm,union,standard,glove,142,215,260,282,294,0.630209283,136.7518446,79275
atm,craftdroid,android,glove,141,224,264,282,300,0.639930055,108.1219568,142817
atm,union,googleplay,glove,141,226,267,278,289,0.6370872,124.9968245,53393
atm,craftdroid,googleplay,glove,140,226,263,274,290,0.635048509,96.85398841,50980
atm,craftdroid,blogs,glove,140,220,258,277,293,0.630878242,104.8553514,69653
craftdroid,craftdroid,android,fast,139,232,273,285,302,0.639120886,52.02092314,0
atm,union,blogs,glove,139,217,261,282,293,0.628077703,132.8753364,73198
atm,craftdroid,standard,glove,139,218,256,277,291,0.627259058,111.7280126,75934
adaptdroid,union,empty,edit_distance,139,197,221,244,254,0.59091504,34.0847058,112975
atm,craftdroid,googleplay,fast,138,220,258,279,292,0.630133322,107.891963,1556
atm,craftdroid,googleplay,w2v,137,214,252,277,293,0.623776707,125.7148907,17366
atm,craftdroid,blogs,w2v,137,216,253,270,287,0.622766432,133.1394122,27585
atm,craftdroid,standard,w2v,136,224,264,280,289,0.629574916,119.9321091,69330
atm,union,googleplay,fast,136,215,260,283,293,0.623817458,137.0104189,1574
atm,union,empty,edit_distance,136,214,258,280,292,0.622853125,120.1893446,153658
atm,craftdroid,blogs,fast,135,215,257,271,290,0.618721699,100.7226174,190
adaptdroid,craftdroid,empty,edit_distance,135,199,219,242,256,0.58639844,33.1296899,104812
adaptdroid,union,standard,bert,135,186,218,237,251,0.56112164,1611.85151,0
atm,union,googleplay,w2v,134,211,252,280,294,0.616502492,153.3962662,17799
adaptdroid,craftdroid,standard,bert,134,183,217,236,252,0.55847709,1631.1904,0
atm,craftdroid,android,w2v,133,212,254,279,294,0.618538391,127.4330404,45375
atm,union,blogs,w2v,131,209,254,275,288,0.608454662,168.9600067,28290
atm,union,android,w2v,131,202,251,279,294,0.607716653,164.1986248,46724
atm,union,blogs,fast,130,209,261,275,291,0.608496588,132.1631534,236
atm,union,android,fast,129,204,255,279,295,0.605226535,144.4869499,0
atm,craftdroid,android,fast,127,210,252,274,291,0.605942532,119.1859467,0
atm,craftdroid,empty,edit_distance,121,211,258,276,291,0.6002352,101.795368,144376
random,atm,empty,random,19.5,40.5,63,86.5,106.5,0.20191013,5.051054716,0
